Date,Close,High,Low,Open,Volume,Ticker
,PG,PG,PG,PG,PG,
2016-02-04,63.08019256591797,63.392858913294475,62.7909811145767,63.197443191635976,8295100,PG
2016-02-05,63.47105407714844,63.471054077148445,62.97860837218573,62.98642667456788,9957600,PG
2016-02-08,64.58100128173828,64.65916639152647,62.759725001957236,62.759725001957236,16530200,PG
2016-02-09,64.59664154052734,64.87804074857434,63.33034510431588,63.96349630422986,14308900,PG
2016-02-10,63.799339294433594,64.87803213973476,63.67427034584556,64.80768532886577,10585400,PG
2016-02-11,62.45488739013672,63.306897368091114,62.24383499827986,62.83790066696653,12343900,PG
2016-02-12,63.30691909790039,63.33036804646287,62.36892537368917,62.8144732872323,9306100,PG
2016-02-16,63.68209457397461,64.08855676749043,63.18964299758827,64.08855676749043,9352600,PG
2016-02-17,64.44812774658203,64.74516357603389,63.71336840191298,63.822800771621495,10892900,PG
2016-02-18,64.08073425292969,64.34649680578637,63.478850413740794,64.27614999954149,7702600,PG
2016-02-19,63.93223190307617,64.29961455010358,63.62738374141869,64.0651132117747,7709600,PG
2016-02-22,64.19795227050781,64.62005082353816,63.86965538379959,63.932189828014344,6916500,PG
2016-02-23,63.947845458984375,64.45592758055194,63.79151525093982,64.09636333115732,5840600,PG
2016-02-24,63.75246047973633,63.81499497857513,63.04896824046298,63.517965054517894,6759800,PG
2016-02-25,64.36214447021484,64.36214447021484,63.68210130879639,63.86188050361995,6789700,PG
2016-02-26,63.392879486083984,64.60445973900471,63.27562882231481,64.50283971405038,9281100,PG
2016-02-29,62.75972366333008,63.58828454392017,62.69718919138711,63.39286879181002,11065300,PG
2016-03-01,63.49448776245117,63.59610180498703,62.94732008731133,62.95513838708036,9483900,PG
2016-03-02,64.52629852294922,64.61228195067606,63.19746752583599,63.76808427678533,12096600,PG
2016-03-03,64.75298309326172,64.82333588936966,64.23708843081282,64.5184876880095,8747100,PG
2016-03-04,65.26104736328125,65.45646312874146,64.29960513684189,64.58100431619387,9406700,PG
2016-03-07,64.95621490478516,65.42521166222421,64.87804977248155,65.01874939607498,6792400,PG
2016-03-08,64.92493438720703,65.46428382799785,64.62008625900773,64.85458757159924,7788400,PG
2016-03-09,64.84675598144531,65.41737254454951,64.62789131514175,65.11252447882455,8954800,PG
2016-03-10,64.31525421142578,65.05783791122158,63.90097362406631,64.97966681173537,10385600,PG
2016-03-11,63.90096664428711,64.7217153903027,63.658652960476594,64.68262984482885,11109500,PG
2016-03-14,63.44761276245117,63.97914407961767,63.0645993903162,63.760279295540535,12389300,PG
2016-03-15,63.55701446533203,63.67426510407713,63.12710340808695,63.31470085190998,9297800,PG
2016-03-16,63.58045959472656,63.94002978898671,62.90823496429569,63.55701066110412,9490300,PG
2016-03-17,64.68262481689453,65.05782574798076,63.53357904723753,63.54139734844796,12061500,PG
2016-03-18,64.99526977539062,65.26885059113356,64.4402898452794,64.76858682417091,33635200,PG
2016-03-21,65.12816619873047,65.55808326901243,64.8076874438424,64.97183597150935,8625600,PG
2016-03-22,64.67479705810547,65.12816304414953,64.47938130173637,65.09689580749661,7205900,PG
2016-03-23,64.73733520507812,65.26104803059884,64.54973773813052,64.65917009081795,5594600,PG
2016-03-24,64.79203033447266,64.97181540612429,64.4324661547834,64.45591508508275,6645700,PG
2016-03-28,64.58100128173828,65.22977706023421,64.5028302083345,64.87021278431611,4988500,PG
2016-03-29,64.7217025756836,64.94837961097672,64.22143870347634,64.61227022636425,6731400,PG
2016-03-30,64.62788391113281,65.15941488138226,64.60443498008881,64.94836257475784,6925400,PG
2016-03-31,64.33869171142578,64.87804119113103,64.2136287090054,64.68262540441076,6819200,PG
2016-04-01,65.29232788085938,65.362680671814,64.04166792027188,64.09638410718455,8028600,PG
2016-04-04,65.04217529296875,65.38610890957925,64.90147571922947,65.38610890957925,5593400,PG
2016-04-05,65.00312042236328,65.31578095959738,64.87023313405956,65.00312042236328,5259100,PG
2016-04-06,65.51117706298828,65.53462599986263,64.94056638699342,64.98746426074213,6292100,PG
2016-04-07,65.06564331054688,65.40957702802682,64.7764317423178,65.06564331054688,6655900,PG
2016-04-08,65.03436279296875,65.2297785537212,64.69824744592991,65.22196621709443,5453000,PG
2016-04-11,64.6669692993164,65.14377814461716,64.61225313912686,64.9014645728655,7081500,PG
2016-04-12,64.74517059326172,65.04220049128948,64.44813473161643,64.6513688532236,7081600,PG
2016-04-13,64.45592498779297,65.21413898990156,63.97129182056508,64.91710922111893,11738600,PG
2016-04-14,64.62931823730469,64.91302258318906,64.25892611837406,64.58203017134485,6904400,PG
2016-04-15,64.85784149169922,64.96028791872105,64.50320814437666,64.66082496956462,7299300,PG
2016-04-18,65.27552795410156,65.401615425732,64.63719021267134,64.85785380984406,5628000,PG
2016-04-19,65.6301498413086,65.96113619055201,65.2912811468543,65.33856920565175,6606100,PG
2016-04-20,64.26678466796875,65.67741751618576,64.21162028849918,65.63801782368832,9124200,PG
2016-04-21,63.67575454711914,64.07766400022723,63.47873798727343,63.864888761079904,8802100,PG
2016-04-22,63.79393768310547,63.79393768310547,62.97435436763203,63.36050500833131,8027700,PG
2016-04-25,64.1564712524414,64.21163564510387,63.3762813973278,63.77031449133626,7672800,PG
2016-04-26,62.6906852722168,64.22741236554572,62.422739566538944,64.22741236554572,13742300,PG
2016-04-27,62.9586067199707,63.163505610524545,62.33603371547588,62.62762036693836,7689700,PG
2016-04-28,62.856170654296875,63.25808014396416,62.564583954712845,62.63551304919277,7615900,PG
2016-04-29,63.13987350463867,63.163514531413085,62.54882378540362,62.78524006561644,9391000,PG
2016-05-02,63.80973434448242,64.0697976871443,63.061067692498455,63.061067692498455,7862600,PG
2016-05-03,63.912174224853516,64.38501279124277,63.58907017593382,63.67575794789318,7617500,PG
